B435,eB435,V606,eV606,I814,eI814,Y105,eY105,J125,eJ125,JH140,eJH140,H160,eH160,bright_mag,bright_magerr,stel,fwhm,area,zmax,label
99.0,28.7067,99.0,29.2528,99.0,28.8309,-99.0,0.0,27.2078,0.2798,-99.0,0.0,26.2108,0.1581,26.3959,28.2224,0.0,0.755,32.0,9.386,not_spike
99.0,29.4734,99.0,29.9911,27.8736,0.2168,-99.0,0.0,27.1044,0.14,-99.0,0.0,27.5856,0.2712,27.2652,29.2573,0.02,0.422,17.0,5.96,not_spike
99.0,29.2915,31.7037,2.019,28.4066,0.3441,27.9351,0.2782,27.9768,0.2097,28.9585,0.9657,28.4353,0.2775,28.2369,29.6556,0.12,0.217,5.0,5.56,not_spike
29.7547,0.9411,30.2879,0.8998,99.0,29.521,28.2054,0.3392,29.1298,0.4902,28.6032,0.7661,28.7655,0.3496,28.7015,29.2944,0.04,0.0,0.0,6.59,not_spike
31.2497,1.9134,99.0,30.0551,28.3454,0.2965,28.4417,0.4064,28.3091,0.2524,28.5826,0.7586,28.3291,0.2393,28.6365,29.8492,0.36,0.0,0.0,5.12,not_spike
99.0,29.0081,29.3586,0.6415,99.0,29.1739,27.5995,0.239,27.7047,0.1806,27.2342,0.3258,27.5634,0.1472,27.7018,28.3743,0.51,0.317,7.0,6.412,not_spike
99.0,29.5642,29.0812,0.3694,99.0,29.6476,28.4451,0.388,28.8567,0.382,28.3913,0.6166,28.5226,0.2723,28.8869,29.8853,0.06,0.386,1.0,4.51,not_spike
99.0,29.325,31.4769,1.802,27.6336,0.1911,27.2374,0.2222,27.3823,0.2816,27.6451,0.6241,27.0307,0.1913,27.263,28.8189,0.53,0.258,15.0,5.22,not_spike
99.0,29.2016,29.5667,0.6847,31.3883,2.2593,27.4892,0.2515,26.9935,0.1132,27.1456,0.3516,27.1923,0.124,27.1198,29.3915,0.72,0.197,13.0,7.4,not_spike
99.0,28.8756,99.0,29.1802,27.3113,0.2146,26.893,0.1896,26.6662,0.1105,27.1243,0.4072,26.9244,0.1265,26.7892,29.0919,0.03,0.69,17.0,5.513,not_spike
99.0,29.538,99.0,30.0977,28.355,0.2794,28.4949,0.3936,28.0831,0.205,28.7556,0.7903,28.3469,0.2308,28.3361,29.789,0.23,0.158,4.0,5.5,not_spike
99.0,29.3921,30.4835,1.0639,30.3626,1.2505,28.5516,0.4497,28.7754,0.395,30.3877,1.9927,28.7448,0.3558,29.2775,29.7735,0.01,0.433,1.0,5.52,not_spike
99.0,29.3747,99.0,29.8969,29.8349,0.9432,28.6001,0.4971,28.0881,0.246,28.3755,0.7017,28.0225,0.2088,28.2812,29.7066,0.36,0.0,0.0,5.947,not_spike
99.0,27.6704,28.1751,0.664,25.7723,0.08,25.2419,0.0889,25.282,0.151,25.6564,0.1705,25.3592,0.0847,25.3387,27.9143,0.55,0.653,69.0,5.539,not_spike
99.0,28.4653,29.0858,0.6949,28.9205,0.5314,27.4616,0.2719,27.5133,0.4419,28.148,0.595,27.4088,0.2275,27.697,28.9897,0.0,0.4,14.0,5.982,not_spike
26.2407,0.3653,27.5233,0.5768,24.2431,0.0309,22.8135,0.0162,22.5091,0.0212,22.5742,0.0178,22.5424,0.0114,22.5307,26.774,0.99,0.221,144.0,6.043,not_spike
